#							activity
#plate_id	well_id	chemical	category	moa	co_id	replica	CoInoculum	StrainA	StrainB
PM03	A04	Nitrate	nitrogen	N-Source, inorganic	C00244	2	0	2	1
PM03	A05	Urea	nitrogen	N-Source, other	C00086	2	1	1	1
PM03	A06	Biuret	nitrogen	N-Source, other	C06555	2	0	3	0
PM03	A07	L-Alanine	nitrogen	N-Source, amino acid	C00041	2	3	1	2
PM03	A08	L-Arginine	nitrogen	N-Source, amino acid	C00062	2	4	1	3
PM03	A09	L-Asparagine	nitrogen	N-Source, amino acid	C00152	2	5	0	6
PM03	A10	L-Aspartic acid	nitrogen	N-Source, amino acid	C00049	2	4	1	6
PM03	A11	L-Cysteine	nitrogen	N-Source, amino acid	C00097	2	4	0	4
PM03	A12	L-Glutamic acid	nitrogen	N-Source, amino acid	C00025	2	3	6	6
PM03	B01	L-Glutamine	nitrogen	N-Source, amino acid	C00064	2	5	0	5
PM03	B02	Glycine	nitrogen	N-Source, amino acid	C00037	2	0	0	0
PM03	B03	L-Histidine	nitrogen	N-Source, amino acid	C00135	2	1	0	0
PM03	B04	L-Isoleucine	nitrogen	N-Source, amino acid	C00407	2	0	1	0
PM03	B05	L-Leucine	nitrogen	N-Source, amino acid	C00123	2	0	3	0
PM03	B06	L-Lysine	nitrogen	N-Source, amino acid	C00047	2	0	0	0
PM03	B07	L-Methionine	nitrogen	N-Source, amino acid	C00073	2	0	0	0
PM03	B08	L-Phenylalanine	nitrogen	N-Source, amino acid	C00079	2	0	5	0
PM03	B09	L-Proline	nitrogen	N-Source, amino acid	C00148	2	3	2	2
PM03	B10	L-Serine	nitrogen	N-Source, amino acid	C00065	2	0	0	0
PM03	B11	L-Threonine	nitrogen	N-Source, amino acid	C00188	2	1	0	2
PM03	B12	L-Tryptophan	nitrogen	N-Source, amino acid	C00078	2	4	0	4
PM03	C01	L-Tyrosine	nitrogen	N-Source, amino acid	C00082	2	0	1	0
PM03	C02	L-Valine	nitrogen	N-Source, amino acid	C00183	2	1	0	0
PM03	C03	D-Alanine	nitrogen	N-Source, amino acid	C00133	2	1	0	3
PM03	C04	D-Asparagine	nitrogen	N-Source, amino acid	C01905	2	1	0	1
PM03	C05	D-Aspartic acid	nitrogen	N-Source, amino acid	C00402	2	1	0	1
PM03	C06	D-Glutamic acid	nitrogen	N-Source, amino acid	C00217	2	0	1	0
PM03	C07	D-Lysine	nitrogen	N-Source, amino acid	C00739	2	0	0	0
PM03	C08	D-Serine	nitrogen	N-Source, amino acid	C00740	2	0	0	0
PM03	C09	D-Valine	nitrogen	N-Source, amino acid	C06417	2	0	0	0
PM03	C10	L-Citrulline	nitrogen	N-Source, amino acid	C00327	2	0	0	0
PM03	C11	L-Homoserine	nitrogen	N-Source, amino acid	C00263	2	0	0	0
PM03	C12	L-Ornithine	nitrogen	N-Source, amino acid	C00077	2	4	3	6
PM03	D01	N-Acetyl-L-Glutamic acid	nitrogen	N-Source, amino acid	C00624	2	0	0	0
PM03	D02	N-Phthaloyl-L-Glutamic acid	nitrogen	N-Source, amino acid		2	0	5	0
PM03	D03	L-Pyroglutamic acid	nitrogen	N-Source, amino acid	C02238	2	1	0	1
PM03	D04	Hydroxylamine	nitrogen	N-Source, other	C00192	2	0	0	0
PM03	D05	Methylamine	nitrogen	N-Source, other	C00218	2	0	0	0
PM03	D06	N-Amylamine	nitrogen	N-Source, other		2	0	3	0
PM03	D07	N-Butylamine	nitrogen	N-Source, other		2	0	0	0
PM03	D08	Ethylamine	nitrogen	N-Source, other	C00797	2	0	0	0
PM03	D09	Ethanolamine	nitrogen	N-Source, other	C00189	2	0	0	0
PM03	D10	Ethylenediamine	nitrogen	N-Source, other	C12511	2	0	0	0
PM03	D11	Putrescine	nitrogen	N-Source, other	C00134	2	0	0	0
PM03	D12	Agmatine	nitrogen	N-Source, other	C00179	2	0	0	4
PM03	E01	Histamine	nitrogen	N-Source, other	C00388	2	0	0	0
PM03	E02	b-Phenylethylamine	nitrogen	N-Source, other	C05332	2	0	0	0
PM03	E03	Tyramine	nitrogen	N-Source, other	C00483	2	0	0	0
PM03	E04	Acetamide	nitrogen	N-Source, other	C06244	2	0	0	0
PM03	E05	Formamide	nitrogen	N-Source, other	C00488	2	0	7	0
PM03	E06	Glucuronamide	nitrogen	N-Source, other	D01791	2	0	0	0
PM03	E07	DL-Lactamide	nitrogen	N-Source, other		2	0	0	0
PM03	E08	D-Glucosamine	nitrogen	N-Source, other	C00329	2	0	0	3
PM03	E09	D-Galactosamine	nitrogen	N-Source, other	C02262	2	0	0	0
PM03	E10	D-Mannosamine	nitrogen	N-Source, other	C03570	2	1	0	3
PM03	E11	N-Acetyl-D-Glucosamine	nitrogen	N-Source, other	C00140	2	0	0	0
PM03	E12	N-Acetyl-D-Galactosamine	nitrogen	N-Source, other	C01074	2	0	7	4
PM03	F01	N-Acetyl-D-Mannosamine	nitrogen	N-Source, other	C00645	2	0	0	0
PM03	F02	Adenine	nitrogen	N-Source, other	C00147	2	0	0	0
PM03	F03	Adenosine	nitrogen	N-Source, other	C00212	2	0	0	0
PM03	F04	Cytidine	nitrogen	N-Source, other	C00475	2	1	0	0
PM03	F05	Cytosine	nitrogen	N-Source, other	C00380	2	0	0	0
PM03	F06	Guanine	nitrogen	N-Source, other	C00242	2	6	0	0
PM03	F07	Guanosine	nitrogen	N-Source, other	C00387	2	7	0	7
PM03	F08	Thymine	nitrogen	N-Source, other	C00178	2	0	0	0
PM03	F09	Thymidine	nitrogen	N-Source, other	C00214	2	0	0	0
PM03	F10	Uracil	nitrogen	N-Source, other	C00106	2	0	0	0
PM03	F11	Uridine	nitrogen	N-Source, other	C00299	2	0	0	0
PM03	F12	Inosine	nitrogen	N-Source, other	C00294	2	4	0	4
PM03	G01	Xanthine	nitrogen	N-Source, other	C00385	2	1	0	2
PM03	G02	Xanthosine	nitrogen	N-Source, other	C01762	2	0	0	0
PM03	G03	Uric acid	nitrogen	N-Source, other	C00366	2	3	0	3
PM03	G04	Alloxan	nitrogen	N-Source, other	C07599	2	0	0	4
PM03	G05	Allantoin	nitrogen	N-Source, other	C01551	2	3	0	3
PM03	G06	Parabanic acid	nitrogen	N-Source, other		2	0	0	0
PM03	G07	DL-a-Amino-N-Butyric acid	nitrogen	N-Source, other	C02261	2	0	0	0
PM03	G08	g-Amino-N-Butyric acid	nitrogen	N-Source, other	C00334	2	2	0	2
PM03	G09	e-Amino-N-Caproic acid	nitrogen	N-Source, other	C02378	2	0	0	4
PM03	G10	DL-a-Amino-Caprylic acid	nitrogen	N-Source, other		2	0	0	4
PM03	G11	d-Amino-N-Valeric acid	nitrogen	N-Source, other	C00431	2	0	0	4
PM03	G12	a-Amino-N-Valeric acid	nitrogen	N-Source, other	C01826	2	0	0	4
PM03	H01	Ala-Asp	nitrogen	N-Source, peptide	C02871	2	4	2	6
PM03	H02	Ala-Gln	nitrogen	N-Source, peptide		2	4	0	6
PM03	H03	Ala-Glu	nitrogen	N-Source, peptide		2	4	0	6
PM03	H04	Ala-Gly	nitrogen	N-Source, peptide		2	4	0	4
PM03	H05	Ala-His	nitrogen	N-Source, peptide		2	4	0	2
PM03	H06	Ala-Leu	nitrogen	N-Source, peptide	C05035	2	3	0	4
PM03	H07	Ala-Thr	nitrogen	N-Source, peptide		2	2	0	4
PM03	H08	Gly-Asn	nitrogen	N-Source, peptide		2	3	0	4
PM03	H09	Gly-Gln	nitrogen	N-Source, peptide		2	4	8	7
PM03	H10	Gly-Glu	nitrogen	N-Source, peptide		2	1	0	4
PM03	H11	Gly-Met	nitrogen	N-Source, peptide		2	0	2	4
PM03	H12	Met-Ala	nitrogen	N-Source, peptide		2	3	0	6
